Date,BGT North of NE 70th St Logger Total Cyclists,Elliott Bay Trl in Myrtle Edwards Park Total Cyclists,MTS Trl West of I-90 Bridge Total Cyclists,Spokane St. Bridge Total Cyclists
06/04/2014 00:00,1594,1955,1056,1392
06/05/2014 00:00,1701,2024,1048,1404
06/06/2014 00:00,1738,1863,1021,1236
06/07/2014 00:00,2947,1858,1636,1009
06/08/2014 00:00,3688,2388,1578,799
06/09/2014 00:00,1279,1760,739,1173
06/10/2014 00:00,1421,1821,1019,1294
06/11/2014 00:00,1891,2257,1278,1492
06/12/2014 00:00,1024,1627,720,1133
06/13/2014 00:00,542,866,279,558
06/14/2014 00:00,1674,945,1156,695
06/15/2014 00:00,1238,668,747,455
06/16/2014 00:00,901,1323,480,902
06/17/2014 00:00,1234,1799,775,1079
06/18/2014 00:00,1598,1884,1144,1220
06/19/2014 00:00,1606,1918,1212,1270
06/20/2014 00:00,1339,1610,742,1020
06/21/2014 00:00,3464,1844,1387,1135
06/22/2014 00:00,2817,1674,1580,910
06/23/2014 00:00,1803,1966,925,1340
06/24/2014 00:00,1558,1939,910,1172
06/25/2014 00:00,1963,2000,1152,1374
06/26/2014 00:00,1353,1583,716,1198
06/27/2014 00:00,887,1201,446,710
06/28/2014 00:00,1783,923,879,549
06/29/2014 00:00,2372,1284,1464,781
06/30/2014 00:00,1980,2212,1124,1359
07/01/2014 00:00,1905,2328,1263,1467
07/02/2014 00:00,1866,2057,1211,1395
07/03/2014 00:00,1570,1670,839,1060
07/04/2014 00:00,2454,1360,1228,898
07/05/2014 00:00,2100,1050,936,621
07/06/2014 00:00,3369,1851,1767,979
07/07/2014 00:00,1855,1931,990,1248
07/08/2014 00:00,2111,2546,1244,1491
07/09/2014 00:00,2069,2314,1277,1442
07/10/2014 00:00,1921,2156,1052,1316
07/11/2014 00:00,1741,1973,938,1197
07/12/2014 00:00,2397,1520,1333,873
07/13/2014 00:00,2158,1392,1269,736
07/14/2014 00:00,1721,1968,960,1268
07/15/2014 00:00,1891,2190,1190,1343
07/16/2014 00:00,1899,2321,1101,1404
07/17/2014 00:00,1654,1969,1073,1267
07/18/2014 00:00,1684,1820,1084,1121
07/19/2014 00:00,1984,1293,1187,633
07/20/2014 00:00,1401,910,891,585
07/21/2014 00:00,1827,1992,1436,1389
07/22/2014 00:00,1507,2012,1374,1325
07/23/2014 00:00,341,763,303,618
07/24/2014 00:00,705,1196,670,918
07/25/2014 00:00,1795,1873,1042,1219
07/26/2014 00:00,2712,1732,1495,980
07/27/2014 00:00,2795,1732,1541,961
07/28/2014 00:00,1904,2201,1057,1416
07/29/2014 00:00,2006,2346,1339,1522
07/30/2014 00:00,1890,2318,1212,1492
07/31/2014 00:00,1732,2095,1157,1289
08/01/2014 00:00,1608,1816,1090,1317
08/02/2014 00:00,2189,1400,1275,818
08/03/2014 00:00,2655,1716,1302,872
08/04/2014 00:00,1742,2118,952,1246
08/05/2014 00:00,1605,2008,1166,1329
08/06/2014 00:00,1775,1990,1094,1377
08/07/2014 00:00,1657,2118,1039,1302
08/08/2014 00:00,1675,1811,901,1115
08/09/2014 00:00,2410,1538,1333,788
08/10/2014 00:00,2513,1602,1633,940
08/11/2014 00:00,1566,1906,886,1165
08/12/2014 00:00,1124,1581,715,978
08/13/2014 00:00,952,1261,585,770
08/14/2014 00:00,1295,1569,751,1043
08/15/2014 00:00,2037,845,603,817
08/16/2014 00:00,3318,632,1176,703
08/17/2014 00:00,2658,721,1192,695
08/18/2014 00:00,1537,1899,883,1299
08/19/2014 00:00,1664,1958,1063,1349
08/20/2014 00:00,1439,1756,874,1222
08/21/2014 00:00,1401,1725,919,1198
08/22/2014 00:00,1478,1720,842,1102
08/23/2014 00:00,2404,1469,1225,1049
08/24/2014 00:00,2330,1620,1373,815
08/25/2014 00:00,1608,2162,890,1506
08/26/2014 00:00,1695,2287,1003,1459
08/27/2014 00:00,1683,2111,982,1392
08/28/2014 00:00,1514,1776,860,1135
08/29/2014 00:00,992,1366,566,866
08/30/2014 00:00,614,392,232,225
08/31/2014 00:00,1802,965,785,478
09/01/2014 00:00,2730,1689,1232,783
09/02/2014 00:00,846,1411,541,935
09/03/2014 00:00,1276,1786,759,1107
09/04/2014 00:00,1361,2332,1070,1422
09/05/2014 00:00,1511,1865,785,1100
09/06/2014 00:00,2210,1364,1191,724
09/07/2014 00:00,2469,1519,1198,643
09/08/2014 00:00,1123,1517,643,1046
09/09/2014 00:00,1140,1623,754,1032
09/10/2014 00:00,1230,1641,797,1028
09/11/2014 00:00,1226,1793,857,1095
09/12/2014 00:00,1338,1814,799,994
09/13/2014 00:00,1963,1346,972,671
09/14/2014 00:00,1973,1448,1169,675
09/15/2014 00:00,1410,1848,881,1171
09/16/2014 00:00,1266,1696,894,1202
09/17/2014 00:00,1021,1430,654,1076
09/18/2014 00:00,666,1147,471,828
09/19/2014 00:00,1072,1523,773,903
09/20/2014 00:00,1991,1038,932,641
09/21/2014 00:00,1814,1410,1107,668
09/22/2014 00:00,1045,1512,667,1085
09/23/2014 00:00,736,1143,518,830
09/24/2014 00:00,544,817,306,553
09/25/2014 00:00,663,1161,423,778
09/26/2014 00:00,604,885,336,588
09/27/2014 00:00,1617,1325,969,674
09/28/2014 00:00,1413,984,915,484
09/29/2014 00:00,604,997,370,811
09/30/2014 00:00,893,1350,583,951
10/01/2014 00:00,1017,1487,692,1065
10/02/2014 00:00,1096,1464,718,1100
10/03/2014 00:00,1198,1564,737,1046
10/04/2014 00:00,1398,974,972,516
10/05/2014 00:00,1766,1210,1132,507
10/06/2014 00:00,1182,1585,732,1184
10/07/2014 00:00,1031,1499,694,1123
10/08/2014 00:00,1067,1402,661,1068
10/09/2014 00:00,947,1513,660,986
10/10/2014 00:00,803,1141,485,765
10/11/2014 00:00,739,524,442,303
10/12/2014 00:00,1021,686,679,371
10/13/2014 00:00,899,1209,578,902
10/14/2014 00:00,739,1093,456,836
10/15/2014 00:00,557,902,286,677
10/16/2014 00:00,1040,1350,674,1012
10/17/2014 00:00,482,739,291,550
10/18/2014 00:00,658,540,385,269
10/19/2014 00:00,1863,1360,1064,686
10/20/2014 00:00,631,1060,366,729
10/21/2014 00:00,735,1072,471,776
10/22/2014 00:00,346,668,235,535
10/23/2014 00:00,452,756,266,569
10/24/2014 00:00,798,1001,541,734
10/25/2014 00:00,322,278,285,183
10/26/2014 00:00,578,374,231,214
10/27/2014 00:00,844,1226,550,861
10/28/2014 00:00,432,768,257,565
10/29/2014 00:00,871,1238,570,968
10/30/2014 00:00,406,803,269,657
10/31/2014 00:00,375,627,232,476
11/01/2014 00:00,834,537,829,381
11/02/2014 00:00,569,476,560,270
11/03/2014 00:00,463,857,307,691
11/04/2014 00:00,588,943,374,709
11/05/2014 00:00,654,997,477,780
11/06/2014 00:00,408,708,261,611
11/07/2014 00:00,1002,1203,639,807
11/08/2014 00:00,1288,863,910,568
11/09/2014 00:00,250,304,185,163
11/10/2014 00:00,839,1223,545,826
11/11/2014 00:00,734,1048,481,700
11/12/2014 00:00,584,955,332,689
11/13/2014 00:00,522,931,318,643
11/14/2014 00:00,506,807,360,556
11/15/2014 00:00,618,493,613,339
11/16/2014 00:00,589,411,447,280
11/17/2014 00:00,639,958,444,748
11/18/2014 00:00,624,1006,387,730
11/19/2014 00:00,599,920,479,768
11/20/2014 00:00,561,839,334,695
11/21/2014 00:00,357,612,231,436
11/22/2014 00:00,498,389,399,231
11/23/2014 00:00,352,337,252,230
11/24/2014 00:00,536,810,333,656
11/25/2014 00:00,372,638,201,502
11/26/2014 00:00,586,756,361,809
11/27/2014 00:00,285,224,282,169
11/28/2014 00:00,100,109,59,119
11/29/2014 00:00,102,88,70,56
11/30/2014 00:00,194,214,117,124
12/01/2014 00:00,327,599,199,422
12/02/2014 00:00,392,677,257,510
12/03/2014 00:00,438,795,305,546
12/04/2014 00:00,403,690,264,554
12/05/2014 00:00,363,581,241,493
12/06/2014 00:00,376,294,350,254
12/07/2014 00:00,671,509,667,392
12/08/2014 00:00,547,896,356,684
12/09/2014 00:00,400,685,259,552
12/10/2014 00:00,367,640,228,522
12/11/2014 00:00,328,631,209,492
12/12/2014 00:00,497,788,327,554
12/13/2014 00:00,746,591,658,363
12/14/2014 00:00,737,670,644,402
12/15/2014 00:00,575,903,395,694
12/16/2014 00:00,575,883,374,720
12/17/2014 00:00,377,756,280,582
12/18/2014 00:00,358,712,256,573
12/19/2014 00:00,448,623,321,499
12/20/2014 00:00,134,103,204,153
12/21/2014 00:00,531,345,374,288
12/22/2014 00:00,591,762,392,589
12/23/2014 00:00,276,510,181,386
12/24/2014 00:00,299,289,217,205
12/25/2014 00:00,332,312,282,220
12/26/2014 00:00,496,444,354,304
12/27/2014 00:00,247,195,208,167
12/28/2014 00:00,364,333,311,226
12/29/2014 00:00,459,640,288,483
12/30/2014 00:00,394,587,224,395
12/31/2014 00:00,365,542,263,388
01/01/2015 00:00,461,423,360,256
01/02/2015 00:00,323,366,174,304
01/03/2015 00:00,582,298,411,224
01/04/2015 00:00,153,103,154,93
01/05/2015 00:00,359,626,213,504
01/06/2015 00:00,739,1002,497,840
01/07/2015 00:00,731,1011,453,820
01/08/2015 00:00,618,1050,409,788
01/09/2015 00:00,546,836,419,641
01/10/2015 00:00,490,301,439,232
01/11/2015 00:00,531,346,539,244
01/12/2015 00:00,680,980,460,734
01/13/2015 00:00,706,1112,481,836
01/14/2015 00:00,730,1060,509,765
01/15/2015 00:00,358,705,284,507
01/16/2015 00:00,548,905,386,584
01/17/2015 00:00,359,208,440,164
01/18/2015 00:00,182,175,130,109
01/19/2015 00:00,687,817,448,533
01/20/2015 00:00,738,1140,547,890
01/21/2015 00:00,652,957,460,752
01/22/2015 00:00,416,797,278,617
01/23/2015 00:00,349,599,257,531
01/24/2015 00:00,698,517,518,309
01/25/2015 00:00,1907,1189,1309,763
01/26/2015 00:00,1031,1392,676,954
01/27/2015 00:00,520,948,406,782
01/28/2015 00:00,666,1031,518,782
01/29/2015 00:00,744,1175,504,866
01/30/2015 00:00,748,954,498,640
01/31/2015 00:00,969,623,882,430
02/01/2015 00:00,340,288,245,190
02/02/2015 00:00,380,724,235,544
02/03/2015 00:00,478,880,337,716
02/04/2015 00:00,533,822,367,717
02/05/2015 00:00,305,612,187,424
02/06/2015 00:00,313,563,191,442
02/07/2015 00:00,299,175,250,114
02/08/2015 00:00,1123,822,879,457
02/09/2015 00:00,461,780,306,607
02/10/2015 00:00,580,1052,402,762
02/11/2015 00:00,817,1085,513,848
02/12/2015 00:00,675,1080,437,709
02/13/2015 00:00,724,1093,493,686
02/14/2015 00:00,1118,816,801,457
02/15/2015 00:00,1539,1158,1155,684
02/16/2015 00:00,1252,1057,661,685
02/17/2015 00:00,1038,1404,600,942
02/18/2015 00:00,736,1072,513,869
02/19/2015 00:00,426,862,278,637
02/20/2015 00:00,548,845,286,566
02/21/2015 00:00,1266,908,0,446
02/22/2015 00:00,1399,1355,0,705
02/23/2015 00:00,920,1256,0,842
02/24/2015 00:00,825,1241,0,947
02/25/2015 00:00,511,875,0,679
02/26/2015 00:00,464,829,0,727
02/27/2015 00:00,387,689,0,513
02/28/2015 00:00,1692,1169,0,717
03/01/2015 00:00,1548,289,0,651
03/02/2015 00:00,673,0,0,804
03/03/2015 00:00,821,0,425,948
03/04/2015 00:00,862,0,588,889
03/05/2015 00:00,762,0,515,906
03/06/2015 00:00,889,0,618,808
03/07/2015 00:00,2057,0,1255,664
03/08/2015 00:00,2258,0,1432,734
03/09/2015 00:00,1008,0,642,902
03/10/2015 00:00,882,0,595,952
03/11/2015 00:00,487,0,289,626
03/12/2015 00:00,931,0,748,915
03/13/2015 00:00,1196,0,844,936
03/14/2015 00:00,508,0,331,155
03/15/2015 00:00,127,0,119,64
03/16/2015 00:00,869,0,496,798
03/17/2015 00:00,626,0,461,800
03/18/2015 00:00,1021,0,695,900
03/19/2015 00:00,773,0,534,884
03/20/2015 00:00,565,0,352,569
03/21/2015 00:00,1030,0,445,301
03/22/2015 00:00,1017,0,574,354
03/23/2015 00:00,430,0,314,593
03/24/2015 00:00,622,0,377,740
03/25/2015 00:00,394,0,278,527
03/26/2015 00:00,1361,0,960,1277
03/27/2015 00:00,1123,0,734,1063
03/28/2015 00:00,1690,0,962,551
03/29/2015 00:00,1289,0,929,493
03/30/2015 00:00,1137,0,745,1024
03/31/2015 00:00,486,0,292,664
04/01/2015 00:00,772,0,402,704
04/02/2015 00:00,951,853,660,896
04/03/2015 00:00,658,993,434,644
04/04/2015 00:00,1784,1253,1312,742
04/05/2015 00:00,1551,1083,935,555
04/06/2015 00:00,783,1398,542,854
04/07/2015 00:00,854,1370,590,932
04/08/2015 00:00,1221,1577,805,1062
04/09/2015 00:00,1549,1789,941,1150
04/10/2015 00:00,694,1034,443,610
04/11/2015 00:00,999,609,605,327
04/12/2015 00:00,1472,888,1203,595
04/13/2015 00:00,482,795,291,621
04/14/2015 00:00,549,921,320,627
04/15/2015 00:00,1163,1547,852,959
04/16/2015 00:00,1413,1725,1000,1077
04/17/2015 00:00,1253,1621,741,910
04/18/2015 00:00,2441,1686,1728,925
04/19/2015 00:00,2781,1687,1729,883
04/20/2015 00:00,1565,2185,1008,1216
04/21/2015 00:00,971,1402,619,989
04/22/2015 00:00,1026,1406,705,996
04/23/2015 00:00,615,913,385,715
04/24/2015 00:00,721,860,342,550
04/25/2015 00:00,1571,1000,1014,542
04/26/2015 00:00,1627,1155,1175,597
04/27/2015 00:00,1783,2101,1047,1271
04/28/2015 00:00,597,1037,441,857
04/29/2015 00:00,1032,1516,703,1031
04/30/2015 00:00,1334,1514,909,1124
05/01/2015 00:00,1461,1981,981,1304
05/02/2015 00:00,2492,1551,1548,894
05/03/2015 00:00,2771,1845,1699,892
05/04/2015 00:00,1544,1995,979,1383
05/05/2015 00:00,591,997,376,775
05/06/2015 00:00,1179,1687,800,1342
05/07/2015 00:00,1800,2243,1254,1606
05/08/2015 00:00,1790,2157,1140,1378
05/09/2015 00:00,3294,1845,1699,1151
05/10/2015 00:00,2243,1442,1168,738
05/11/2015 00:00,1046,1625,684,1084
05/12/2015 00:00,1039,1518,659,1106
05/13/2015 00:00,566,987,359,809
05/14/2015 00:00,1180,1680,900,1229
05/15/2015 00:00,1818,2252,1294,1719
05/16/2015 00:00,3360,1082,1279,837
05/17/2015 00:00,2082,1313,1416,838
05/18/2015 00:00,1940,2229,1113,1715
05/19/2015 00:00,1715,2235,1079,1536
05/20/2015 00:00,1674,2195,1067,1446
05/21/2015 00:00,1872,2249,1192,1506
05/22/2015 00:00,1217,1602,809,1138
05/23/2015 00:00,1465,916,774,486
05/24/2015 00:00,2174,1079,1081,609
05/25/2015 00:00,2227,1202,1110,662
05/26/2015 00:00,1491,2008,861,1383
05/27/2015 00:00,1751,2285,1186,1522
05/28/2015 00:00,1965,2469,1201,1602
05/29/2015 00:00,1780,2291,1138,1536
05/30/2015 00:00,2979,1768,1412,885
05/31/2015 00:00,2575,1751,1455,910
06/01/2015 00:00,785,1273,438,919
06/02/2015 00:00,712,1272,518,992
06/03/2015 00:00,1082,1599,708,1130
06/04/2015 00:00,1719,2111,1078,1426
06/05/2015 00:00,1883,2143,1108,1346
06/06/2015 00:00,3068,1723,1603,1089
06/07/2015 00:00,3840,1783,1693,1088
06/08/2015 00:00,1817,2218,1003,1427
06/09/2015 00:00,1866,2367,1141,1558
06/10/2015 00:00,1856,2395,1191,1535
06/11/2015 00:00,1833,2289,1247,1483
06/12/2015 00:00,1455,1600,848,1061
06/13/2015 00:00,2934,1849,1474,990
06/14/2015 00:00,3128,1590,1712,926
06/15/2015 00:00,1684,2090,994,1374
06/16/2015 00:00,1798,2005,1098,1375
06/17/2015 00:00,1955,2070,1146,1413
06/18/2015 00:00,1702,1869,994,1341
06/19/2015 00:00,1279,1616,726,859
06/20/2015 00:00,2965,1654,1555,898
06/21/2015 00:00,2594,1692,1335,808
06/22/2015 00:00,1737,1967,932,1253
06/23/2015 00:00,2173,2315,1255,1422
06/24/2015 00:00,1850,1998,1136,1462
06/25/2015 00:00,1966,2164,1185,1431
06/26/2015 00:00,1657,1835,877,1118
06/27/2015 00:00,2865,1340,1520,877
06/28/2015 00:00,1990,1115,1215,651
06/29/2015 00:00,1725,1948,812,1379
06/30/2015 00:00,1873,2162,1203,1475
07/01/2015 00:00,1942,2106,1117,1467
07/02/2015 00:00,1866,1802,973,1271
07/03/2015 00:00,2587,1553,1146,962
