Date,BGT North of NE 70th St Logger Total Cyclists,Elliott Bay Trl in Myrtle Edwards Park Total Cyclists,MTS Trl West of I-90 Bridge Total Cyclists,Spokane St. Bridge Total Cyclists
10/20/2015 00:00,1108,1627,709,1074
10/21/2015 00:00,909,1340,531,1012
10/22/2015 00:00,955,1328,577,1013
10/23/2015 00:00,972,1169,484,857
10/24/2015 00:00,914,523,615,361
10/25/2015 00:00,848,534,580,301
10/26/2015 00:00,486,824,304,655
10/27/2015 00:00,1058,1461,713,1047
10/28/2015 00:00,502,976,325,723
10/29/2015 00:00,717,1054,477,810
10/30/2015 00:00,443,763,244,490
10/31/2015 00:00,224,143,119,108
11/01/2015 00:00,319,239,202,170
11/02/2015 00:00,706,1006,391,863
11/03/2015 00:00,789,1137,495,907
11/04/2015 00:00,952,1262,560,987
11/05/2015 00:00,637,1016,367,718
11/06/2015 00:00,640,873,407,696
11/07/2015 00:00,279,151,190,115
11/08/2015 00:00,419,335,303,201
11/09/2015 00:00,557,875,335,769
11/10/2015 00:00,872,1130,584,912
11/11/2015 00:00,742,1016,443,810
11/12/2015 00:00,582,816,298,697
11/13/2015 00:00,346,519,147,346
11/14/2015 00:00,20,115,102,85
11/15/2015 00:00,0,418,363,182
11/16/2015 00:00,0,871,273,682
11/17/2015 00:00,0,546,157,438
11/18/2015 00:00,0,1012,434,782
11/19/2015 00:00,0,1001,415,835
11/20/2015 00:00,0,952,373,648
11/21/2015 00:00,0,562,669,355
11/22/2015 00:00,0,527,441,291
11/23/2015 00:00,0,851,301,620
11/24/2015 00:00,0,696,229,477
11/25/2015 00:00,0,715,353,539
11/26/2015 00:00,0,332,374,203
11/27/2015 00:00,0,403,277,297
11/28/2015 00:00,0,426,334,194
11/29/2015 00:00,0,316,164,177
11/30/2015 00:00,0,795,262,550
12/01/2015 00:00,0,906,348,664
12/02/2015 00:00,0,859,353,649
12/03/2015 00:00,0,574,216,460
12/04/2015 00:00,0,808,318,541
12/05/2015 00:00,0,109,190,94
12/06/2015 00:00,0,216,256,123
12/07/2015 00:00,188,674,225,521
12/08/2015 00:00,324,555,178,390
12/09/2015 00:00,520,725,322,489
12/10/2015 00:00,352,575,216,466
12/11/2015 00:00,538,772,344,538
12/12/2015 00:00,204,117,169,92
12/13/2015 00:00,248,170,198,153
12/14/2015 00:00,576,967,374,732
12/15/2015 00:00,477,851,334,693
12/16/2015 00:00,547,888,380,671
12/17/2015 00:00,267,542,153,429
12/18/2015 00:00,340,605,194,418
12/19/2015 00:00,451,282,448,212
12/20/2015 00:00,230,181,180,174
12/21/2015 00:00,222,478,156,354
12/22/2015 00:00,402,592,252,428
12/23/2015 00:00,244,397,142,325
12/24/2015 00:00,226,213,152,189
12/25/2015 00:00,153,179,92,131
12/26/2015 00:00,349,259,279,190
12/27/2015 00:00,126,92,116,75
12/28/2015 00:00,354,509,195,371
12/29/2015 00:00,462,647,303,479
12/30/2015 00:00,403,646,272,411
12/31/2015 00:00,360,586,213,288
